smiles GAP_eV 
c1ccc2ccccc2c1 3.25 
c1ccc2c(c1)ccc1ccccc12 3.168 
c1ccc2cc3ccccc3cc2c1 2.266 
c1ccc2c(c1)c1ccccc1c1ccccc21 3.378 
c1ccc2c(c1)ccc1c3ccccc3ccc21 2.751 
c1ccc2c(c1)ccc1ccc3ccccc3c12 2.824 
c1ccc2cc3c(ccc4ccccc43)cc2c1 2.436 
c1ccc2cc3cc4ccccc4cc3cc2c1 1.646 
c1ccc2c(c1)ccc1c3ccccc3c3ccccc3c21 2.666 
c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12 2.604 
c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1 1.803 
c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1 1.23 
c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21 2.785 
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21 2.687 
c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12 2.768 
c1ccc2cc3c(ccc4ccc5ccccc5c43)cc2c1 2.197 
c1ccc2cc3c(ccc4cc5ccccc5cc43)cc2c1 2.408 
c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1 2.192 
c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1 2.592 
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12 2.536 
c1ccc2c(c1)ccc1ccc3c4ccccc4c4ccccc4c3c12 2.715 
c1ccc2c(c1)ccc1c2ccc2c3ccc4ccccc4c3ccc12 2.534 
c1ccc2c(c1)ccc1c2ccc2c3ccccc3c3ccccc3c12 2.713 
c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c12 2.629 
c1ccc2cc3c(ccc4ccc5ccc6ccccc6c5c43)cc2c1 2.228 
c1ccc2cc3c(ccc4ccc5cc6ccccc6cc5c43)cc2c1 1.901 
c1ccc2cc3c(ccc4ccc5c6ccccc6ccc5c43)cc2c1 2.268 
c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13 2.637 
c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1 2.341 
c1ccc2cc3c(ccc4cc5ccc6ccccc6c5cc43)cc2c1 2.412 
c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12 2.308 
c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21 2.487 
c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12 2.336 
c1ccc2cc3c(ccc4c5ccccc5c5ccccc5c34)cc2c1 2.084 
c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1 2.246 
c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1 1.909 
c1ccc2cc3c(ccc4c3ccc3ccc5ccccc5c34)cc2c1 2.226 
c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12 2.704 
c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13 2.313 
c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2ccc31 2.315 
c1ccc2c(c1)ccc1cc3c(ccc4ccc5ccccc5c43)cc12 2.337 
c1ccc2c(c1)ccc1cc3ccc4ccc5ccccc5c4c3cc12 2.328 
c1ccc2c(c1)ccc1c2c2ccccc2c2ccc3ccccc3c21 2.509 
c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1 1.675 
c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1 1.863 
c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1 1.674 
c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1 1.91 
c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12 1.953 
c1ccc2c(c1)ccc1cc3cc4ccc5ccccc5c4cc3cc12 1.962 
c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1 1.356 
c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1 0.937 
c1ccc2c(c1)ccc1c3ccc4ccccc4c3c3ccccc3c21 2.564 
c1ccc2c(c1)ccc1c3ccccc3c3ccc4ccccc4c3c21 2.495 
c1ccc2c(c1)ccc1c2ccc2ccc3ccc4ccccc4c3c21 2.603 
c1ccc2c(c1)ccc1c2ccc2ccc3c4ccccc4ccc3c21 2.536 
c1ccc2c(c1)ccc1ccc3c(ccc4ccc5ccccc5c43)c12 2.625 
c1ccc2c(c1)ccc1c2ccc2c1ccc1ccc3ccccc3c12 2.6 
c1ccc2c(c1)ccc1ccc3ccc4c5ccccc5c5ccccc5c4c3c12 2.523 
c1ccc2c(c1)ccc1c2ccc2ccc3ccc4ccc5ccccc5c4c3c21 2.612 
c1ccc2cc3cc4c(ccc5cc6cc7ccccc7cc6cc54)cc3cc2c1 1.854 
c1ccc2cc3cc4c(ccc5cc6c(ccc7ccccc76)cc54)cc3cc2c1 1.811 
c1ccc2cc3cc4c(cc3cc2c1)c1ccccc1c1cc2ccccc2cc14 1.953 
c1ccc2cc3c(ccc4cc5cc6c(ccc7ccccc76)cc5cc43)cc2c1 2.006 
