tensor(22.9643, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6230, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1687, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4429, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6650, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6521, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6213, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9565, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2770, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5418, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5587, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7230, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5924, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9420, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1953, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7897, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4975, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2447, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9059, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8153, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4930, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0496, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0949, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6952, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2151, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0898, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1822, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1345, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3149, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7522, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5105, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1073, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3496, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5021, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5618, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5417, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0227, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4358, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0863, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8541, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2220, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1321, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3098, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4576, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6673, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9877, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4233, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3294, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5720, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0704, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7385, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6368, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8957, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7660, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6802, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2979, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4880, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4602, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7796, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2952, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3155, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5568, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1054, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5721, device='cuda:0', grad_fn=<NegBackward>)
tensor(21.3179, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2691, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3498, device='cuda:0', grad_fn=<NegBackward>)
