tensor(22.7439, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7504, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2147, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6517, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4676, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9366, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1890, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.5681, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0883, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9922, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8016, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0471, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6184, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6611, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0816, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5863, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8509, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6503, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1094, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.5865, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0495, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7220, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3526, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2394, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0210, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7690, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2510, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3015, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.5370, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9023, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7881, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9960, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7448, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0225, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6070, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6439, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8526, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7470, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4043, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8221, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4826, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0123, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9001, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7861, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1338, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4776, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9396, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3282, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0340, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9861, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9747, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8419, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5820, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9487, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3281, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9601, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.1473, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7573, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.1793, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0724, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3126, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3608, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3253, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6374, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0227, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4067, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6242, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2821, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2860, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2238, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8230, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1321, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2349, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1889, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9631, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8103, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5889, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5576, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2191, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9527, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7005, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7283, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6626, device='cuda:0', grad_fn=<NegBackward0>)
